,mlpack_building_time,ANN_building time,Bottleneck distance,number of equal_edges,percentual of equal edges,weight of equal edges,percentual weight of equal edges,percentual total error
iris.fvec,0.0,0.0,4.2444316727952014e-08,142,0.9530201342281879,42.2667360752821,0.9745004498524237,1.2304953327890881e-09
seeds.fvec,0.0,0.0,4.7640122069481095e-08,209,1.0,101.50964317470789,0.9999999979900027,2.0099972961014852e-09
Cancer.fvec,0.014736413955688477,0.018039464950561523,0.16668293510106746,407,0.5830945558739254,1227.7313696146011,0.8782501493042953,0.001000152012753207
mfeat.fvec,0.33252811431884766,0.11466312408447266,1.6652918901627345e-06,1995,0.9979989994997499,21546.1080006361,0.9978471578348288,9.996374433892936e-10
sift_learn.fvecs,2316.9245579242706,11.880245923995972,13.419314081362131,97336,0.9733697336973369,20309783.65970564,0.9688208160377706,0.0006553203991832718
mnist.fvec,9010.491482257843,17.839833736419678,53.890023814532015,59712,0.9952165869431158,64518432.29855347,0.993984255003031,0.00018584271918503745
