-2.925,7.77,0.15,151.6751583,13.52721729,2.505681882
-3.3,0.25,0.166666667,185.5314856,14.80503735,2.925497696
-3.3,0.655,0.5,220.7427483,16.45872987,3.348150079
-3.9,0.75,0.31,197.3853905,16.10204418,3.521960697
-3.9,0.15,0.51,131.7290688,17.17535914,3.779851719
-3.9,0.655,0.433333333,75.11934388,15.93297427,3.548310432
-3.9,0.13,0.82,65.61175003,13.60147816,3.23543943
-4.4,0.12,0.4,59.80955722,15.72675873,3.638876758
-4.15,0.854,0.35,50.7531773,18.40687301,4.370577707
-1.1,0.17,0.31,82.27096104,11.31621535,2.49024879
0.6,0.25,0.25,84.04240124,12.33471802,2.676641272
0.6,0.95,0.5,170.4841474,11.00246239,2.296116692
0.6,0.13,0.351,196.4411393,12.36557423,2.660308902
0.6,0.64,0.166666667,199.7475564,11.92952749,2.413228834
0.6,0.352,0.25,265.9137636,13.55199238,2.878958936
0.3,0.62,0.1,262.3282937,13.89901046,2.860861252
0.6,0.11,0.2,211.3982585,13.24435234,2.811315464
0.3,0.052,0.5,239.5990254,11.77508595,2.386890733
0.6,0.13,0.15,279.2419941,13.2321871,2.697242668
0.6,0.12,0.8,276.2622043,12.24572231,2.400177057
0.6,0.853,0.15,275.9090202,12.83553119,2.541355471
0.6,0.13,0.5,236.6024692,12.18068416,2.38210688
-0.3,0.64,0.15,182.829675,12.65077531,2.574904687
-1.1,0.13,0.433333333,120.4753321,13.55542062,2.816879411
-1.1,0.65,0.101,69.33908937,13.34488769,2.812091283
-1.266666667,0.75,0.1,39.33400606,13.86450258,3.303224003
-1.7,0.76,0.3,21.99451017,13.19786286,2.837933941
-1.7,0.26,0.933333333,10.31474886,34.09595565,8.736403265
-1.7,0.76,0.251,27.62593292,22.64700832,5.387683626
-2.1,0.78,0.25,74.89902882,12.96462944,2.76005508
-2.2,0.86,0.5,259.3496524,10.0361959,2.07260185
-2.333333333,0.77,0.3,339.9246369,9.089694929,1.615223627
-2.9,0.7333333339,0.6,351.269359,10.16480958,1.678120565
-2.9,0.39,0.15,339.1870767,11.00374802,1.845278006
-2.8,0.39,0.31,248.4974714,12.53764198,2.370684418
-3.3,0.38,0.7333333331,217.5372276,11.96181508,2.234572248
-3.95,0.758,0.3,259.9104196,12.91124098,2.329473268
-4.1,0.28,0.9666666672,232.4381766,14.04560699,2.549617553
-4.5,0.9333333338,0.166666667,255.7911791,12.58155518,2.195717514
-5.6,0.258,0.13,202.1995402,13.39045198,2.606750434
